Row, Timestamp, Series 1, Series 2, Series 3, Series 4, Series 5, Series 6
0   , 0.470, 30     , -30    , 0      , 3      , 0      , 32     
1   , 0.570, 30     , -30    , 0      , -5     , 0      , 32     
2   , 0.670, 30     , -30    , 0      , 15     , 1      , 32     
3   , 0.770, 30     , -30    , 0      , 38     , 1      , 32     
4   , 0.870, 30     , -30    , 0      , 56     , 1      , 39     
5   , 0.970, 30     , -30    , 0      , 84     , 1      , 32     
6   , 1.070, 30     , -30    , 0      , 61     , 1      , 32     
7   , 1.170, 30     , -30    , 0      , 41     , 1      , 32     
8   , 1.270, 30     , -30    , 0      , -13    , 1      , 33     
9   , 1.370, 30     , -30    , 0      , -101   , 1      , 33     
10  , 1.470, 30     , -30    , 0      , -151   , 1      , 32     
11  , 1.570, 30     , -30    , 0      , -125   , 1      , 32     
12  , 1.670, 30     , -30    , 0      , -74    , 1      , 32     
13  , 1.770, 30     , -30    , 0      , -100   , 0      , 32     
14  , 1.870, 30     , -30    , 0      , -53    , 0      , 32     
15  , 1.970, 30     , -30    , 0      , 21     , 0      , 32     
16  , 2.070, 30     , -30    , 0      , 54     , 0      , 28     
17  , 2.170, 30     , -30    , 0      , 124    , 0      , 32     
18  , 2.270, 30     , -30    , 0      , 182    , 0      , 32     
19  , 2.370, 30     , -30    , 0      , 178    , 0      , 32     
20  , 2.470, 30     , -30    , 0      , 91     , 1      , 32     
21  , 2.570, 30     , -30    , 0      , 69     , 2      , 39     
22  , 2.670, 30     , -30    , 0      , 38     , 1      , 58     
23  , 2.770, 30     , -30    , 0      , 34     , 1      , 48     
24  , 2.870, 30     , -30    , 0      , -39    , 1      , 55     
25  , 2.970, 30     , -30    , 0      , -215   , 1      , 54     
26  , 3.070, 30     , -30    , 0      , -156   , 1      , 32     
27  , 3.170, 30     , -30    , 0      , -89    , 1      , 32     
28  , 3.270, 30     , -30    , 0      , 166    , 1      , 32     
29  , 3.370, -30    , 30     , 0      , 64     , 2      , 32     
30  , 3.470, -30    , 30     , 0      , 53     , 4      , 32     
31  , 3.570, -30    , 30     , 0      , 43     , 7      , 32     
32  , 3.670, -30    , 30     , 0      , -5     , 10     , 32     
33  , 3.770, -30    , 30     , 0      , 21     , 21     , 34     
34  , 3.870, -30    , 30     , 0      , -13    , 34     , 32     
35  , 3.970, -30    , 30     , 0      , -57    , 38     , 32     
36  , 4.070, -30    , 30     , 0      , -107   , 39     , 32     
37  , 4.170, -30    , 30     , 0      , -129   , 34     , 16     
38  , 4.270, -30    , 30     , 0      , -149   , 36     , 32     
39  , 4.370, -30    , 30     , 0      , -135   , 35     , 32     
40  , 4.470, -30    , 30     , 0      , -109   , 35     , 24     
41  , 4.570, -30    , 30     , 0      , -83    , 26     , 24     
42  , 4.670, -30    , 30     , 0      , -40    , 22     , 24     
43  , 4.770, -30    , 30     , 0      , 16     , 6      , 24     
44  , 4.870, -30    , 30     , 0      , 5      , 8      , 19     
45  , 4.970, -30    , 30     , 0      , -13    , 8      , 19     
46  , 5.070, -30    , 30     , 0      , -20    , 10     , 19     
47  , 5.170, -30    , 30     , 0      , -20    , 9      , 18     
48  , 5.270, -30    , 30     , 0      , -16    , 8      , 18     
49  , 5.370, -30    , 30     , 0      , -15    , 9      , 18     
50  , 5.470, -30    , 30     , 0      , 9      , 9      , 18     
51  , 5.570, -30    , 30     , 0      , 28     , 7      , 19     
52  , 5.670, -30    , 30     , 0      , -28    , 10     , 19     
53  , 5.770, -30    , 30     , 0      , -7     , 17     , 13     
54  , 5.872, -30    , 30     , 0      , 109    , 11     , 12     
55  , 5.970, -30    , 30     , 0      , 245    , 9      , 18     
56  , 6.070, -30    , 30     , 0      , 196    , 8      , 18     
57  , 6.170, -30    , 30     , 0      , 131    , 34     , 14     
58  , 6.270, -30    , 30     , 0      , 64     , 7      , 12     
59  , 6.370, -30    , 30     , 0      , -62    , 36     , 17     
60  , 6.470, -30    , 30     , 0      , -70    , 34     , 17     
61  , 6.570, -30    , 30     , 0      , -134   , 32     , 17     
62  , 6.670, -30    , 30     , 0      , -140   , 34     , 20     
63  , 6.770, -30    , 30     , 0      , -134   , 37     , 19     
64  , 6.870, -30    , 30     , 0      , -136   , 36     , 15     
65  , 6.970, -30    , 30     , 0      , -131   , 35     , 12     
66  , 7.071, -30    , 30     , 0      , -129   , 34     , 8      
67  , 7.170, -30    , 30     , 0      , -124   , 2      , 8      
68  , 7.270, -30    , 30     , 0      , -130   , 36     , 14     
69  , 7.370, -30    , 30     , 0      , -121   , 37     , 17     
70  , 7.470, -30    , 30     , 0      , -114   , 37     , 21     
71  , 7.570, -30    , 30     , 0      , -124   , 33     , 35     
72  , 7.670, -30    , 30     , 0      , -88    , 33     , 20     
73  , 7.770, -30    , 30     , 0      , -59    , 33     , 32     
74  , 7.870, -30    , 30     , 0      , -41    , 36     , 38     
75  , 7.970, -30    , 30     , 0      , 18     , 36     , 38     
76  , 8.070, -30    , 30     , 0      , 189    , 33     , 38     
77  , 8.170, -30    , 30     , 0      , 76     , 11     , 25     
78  , 8.270, -30    , 30     , 0      , 109    , 5      , 24     
