ecg,ppg
0.09521,-0.52979
0.10742,-0.46265
0.12085,-0.36743
0.11841,-0.27466
0.10254,-0.19043
0.07446,-0.10376
0.07446,0.01099
0.06592,0.1062
0.04883,0.20264
0.01709,0.27588
0.0061,0.36865
-0.00977,0.45654
-0.02808,0.52124
-0.05249,0.60669
-0.06348,0.64209
-0.06104,0.6958
-0.05615,0.74951
-0.06714,0.77148
-0.06104,0.79346
-0.06836,0.79712
-0.07324,0.78857
-0.08057,0.79468
-0.08057,0.79468
-0.06592,0.76782
-0.0769,0.75439
-0.06836,0.74585
-0.05981,0.71655
-0.03784,0.69702
-0.03906,0.66528
-0.04761,0.65186
-0.07568,0.61646
-0.07446,0.5896
-0.07568,0.55298
-0.08057,0.55176
-0.08179,0.50537
-0.08057,0.50415
-0.05981,0.48584
-0.05005,0.45044
-0.0354,0.42969
-0.0354,0.42847
-0.03418,0.41382
-0.04272,0.39673
-0.04517,0.37598
-0.04761,0.36499
-0.04395,0.33569
-0.04883,0.32593
-0.04028,0.30518
-0.05127,0.27344
-0.05615,0.26489
-0.05859,0.24048
-0.05615,0.22217
-0.05859,0.20874
-0.0708,0.18677
-0.0647,0.15137
-0.06348,0.13428
-0.06226,0.11841
-0.04761,0.12939
-0.04395,0.09155
-0.04761,0.09521
-0.05371,0.09033
-0.07202,0.08423
-0.06226,0.06958
-0.04272,0.05737
-0.03052,0.04883
-0.0293,0.0354
-0.04639,0.03296
-0.04517,0.0415
-0.0415,0.04517
-0.03296,0.04639
-0.01953,0.02319
-0.01831,0.02319
0,0.01953
0.00244,0.02686
0.01953,0.01343
0.01221,0.01587
0.00366,-0.00488
-0.00732,-0.00244
-0.01953,-0.01709
-0.03052,-0.02319
-0.03662,-0.06104
-0.04639,-0.05859
-0.04761,-0.0769
-0.0647,-0.10132
-0.06836,-0.09521
-0.06714,-0.11108
-0.06104,-0.13672
-0.05005,-0.14282
-0.06226,-0.16724
-0.0647,-0.2002
-0.06958,-0.19653
-0.06104,-0.2356
-0.03418,-0.23926
-0.01343,-0.26367
0.00244,-0.28442
0.0293,-0.3064
0.0647,-0.30884
0.13184,-0.33325
0.15991,-0.35034
0.15015,-0.37842
0.06836,-0.39429
-0.04761,-0.42725
-0.12695,-0.43091
-0.16724,-0.46143
-0.14526,-0.47485
-0.10498,-0.49072
-0.07935,-0.5188
-0.05249,-0.51392
-0.04639,-0.54321
-0.04028,-0.54199
-0.03662,-0.55908
-0.04028,-0.59448
-0.03296,-0.61279
-0.03174,-0.61035
-0.01709,-0.64209
0.00244,-0.65063
0.0061,-0.66284
0.01465,-0.67017
0.00244,-0.67871
0.00854,-0.70068
0.01221,-0.70313
0.01709,-0.70557
0.02686,-0.71533
0.01465,-0.74463
0.02197,-0.75073
0.02686,-0.75195
0.04028,-0.76538
0.05981,-0.7959
0.04517,-0.80444
0.03174,-0.81177
0.04517,-0.80566
0.05615,-0.83008
0.09033,-0.82764
0.10498,-0.82886
0.11108,-0.81421
0.10742,-0.80933
0.10986,-0.79346
0.11108,-0.77271
0.10254,-0.72388
0.09644,-0.66528
0.08911,-0.62988
0.09155,-0.54077
0.10986,-0.47241
0.10376,-0.39185
0.09888,-0.29541
0.07568,-0.19897
0.06226,-0.09644
0.04395,0.02197
0.03174,0.11353
0.02563,0.21118
0.01099,0.30029
0.00122,0.37842
0.00366,0.46021
-0.01953,0.5127
-0.03418,0.58838
-0.05371,0.62134
-0.05493,0.68115
-0.05249,0.71289
-0.0708,0.72266
-0.09277,0.72754
-0.10254,0.73242
-0.11108,0.72388
-0.10376,0.73853
-0.1062,0.71411
-0.10254,0.70801
-0.08179,0.6665
-0.06226,0.65186
-0.04883,0.62988
-0.06348,0.61035
-0.0769,0.57861
-0.08179,0.55786
-0.07202,0.52979
-0.07202,0.49927
-0.0708,0.48218
-0.05859,0.43701
-0.05493,0.41382
-0.05371,0.39429
-0.06226,0.3894
-0.08545,0.36255
-0.08057,0.35767
-0.06592,0.34058
-0.03784,0.32593
-0.0293,0.30884
-0.04883,0.28442
-0.0769,0.27954
-0.09155,0.26001
-0.08301,0.21973
-0.06958,0.19653
-0.05249,0.19653
-0.06104,0.17944
-0.05981,0.13794
-0.04883,0.13794
-0.03784,0.11475
-0.04517,0.08301
-0.06226,0.08911
-0.06836,0.07568
-0.06104,0.05371
-0.05981,0.04883
-0.06714,0.04272
-0.06958,0.03174
-0.06226,0.0061
-0.05371,0
-0.05005,0.01343
-0.04761,0.01099
-0.04395,-0.00977
-0.04761,-0.00366
-0.03052,0.00488
-0.01831,-0.01953
-0.01587,-0.00122
-0.02075,-0.03174
-0.03418,-0.02075
-0.03418,-0.01709
-0.02686,-0.02075
-0.02197,-0.0293
-0.00977,-0.05371
0.0061,-0.04883
0.01343,-0.08179
0.02075,-0.08667
0.01221,-0.1001
0.00244,-0.11597
-0.00244,-0.11841
-0.00854,-0.12695
-0.02075,-0.15381
-0.02319,-0.16602
-0.02808,-0.1709
-0.0293,-0.20874
-0.03052,-0.20752
-0.02319,-0.23193
-0.03174,-0.25146
-0.03296,-0.28076
-0.03418,-0.28687
-0.04028,-0.30884
-0.03296,-0.3418
-0.04395,-0.34546
-0.05859,-0.36133
-0.05249,-0.40283
-0.04272,-0.40527
-0.00366,-0.44067
0.02197,-0.43945
0.07324,-0.46265
0.14771,-0.47607
0.19531,-0.49194
0.19409,-0.50781
0.11841,-0.55176
0.00488,-0.56152
-0.08545,-0.57983
-0.14282,-0.57983
-0.14038,-0.61035
-0.10986,-0.62988
-0.08911,-0.62134
-0.04883,-0.65674
-0.0415,-0.65796
-0.02808,-0.66284
-0.03052,-0.6897
-0.03296,-0.69946
-0.02686,-0.70435
-0.02686,-0.71167
0,-0.74097
0.01221,-0.75806
0.02808,-0.76294
0.0415,-0.77881
0.0415,-0.78369
0.04639,-0.78979
0.05005,-0.78735
0.04761,-0.81055
0.03906,-0.82642
0.03174,-0.81543
0.0354,-0.8313
0.04639,-0.85449
0.05981,-0.83862
0.07446,-0.84961
0.07446,-0.87646
0.05127,-0.86182
0.03784,-0.88135
0.05493,-0.87891
0.09644,-0.89355
0.12573,-0.88745
0.1355,-0.896
0.12817,-0.89111
0.12329,-0.85327
0.14038,-0.84839
0.14404,-0.79834
0.15015,-0.77148
0.13794,-0.68848
0.12451,-0.64209
0.11353,-0.54199
0.11353,-0.46387
0.11353,-0.37842
0.11353,-0.26123
0.10864,-0.16113
0.08057,-0.0647
0.05981,0.03784
0.04028,0.14038
0.02808,0.23071
0.02197,0.30396
0.01831,0.40161
0.01099,0.47485
0.00854,0.53955
-0.01587,0.59814
-0.03052,0.64819
-0.04028,0.66284
-0.04761,0.70679
-0.05859,0.72754
-0.07202,0.72266
-0.07568,0.7312
-0.07446,0.7312
-0.07813,0.71899
-0.07935,0.71045
-0.07813,0.69336
-0.07568,0.68237
-0.06958,0.65063
-0.06836,0.62256
-0.0647,0.5896
-0.06836,0.58105
-0.05249,0.55542
-0.03296,0.51392
-0.02686,0.49072
-0.03052,0.46265
-0.0415,0.44922
-0.05981,0.42725
-0.0647,0.40527
-0.07324,0.38086
-0.05371,0.35767
-0.04028,0.35278
-0.01709,0.32837
-0.02075,0.31372
-0.03418,0.29053
-0.04272,0.29785
-0.0415,0.26489
-0.04272,0.2478
-0.03052,0.24414
-0.03174,0.20508
-0.03418,0.18555
-0.03784,0.1709
-0.04639,0.14893
-0.03296,0.14282
-0.03906,0.14038
-0.04272,0.1062
-0.05859,0.11108
-0.05127,0.08911
-0.0354,0.08911
-0.0354,0.06104
-0.03418,0.07568
-0.04395,0.04639
-0.04028,0.05737
-0.03296,0.05127
-0.03052,0.0354
-0.02563,0.05249
-0.03662,0.02563
-0.04639,0.04028
-0.0415,0.03906
-0.03784,0.01587
-0.03784,0.03052
-0.04883,0.02808
-0.05127,0.00244
-0.04272,0
-0.03784,0.0061
-0.03174,0.0061
-0.03296,-0.01465
-0.03052,-0.03052
-0.01099,-0.04639
0.0061,-0.05493
0.02319,-0.05249
0.0354,-0.06958
0.04517,-0.1001
0.05493,-0.09399
0.0415,-0.12207
0.03052,-0.14404
0,-0.15137
-0.01953,-0.16724
-0.02808,-0.18188
-0.03784,-0.2002
-0.0293,-0.24292
-0.0293,-0.26245
-0.0354,-0.26978
-0.04883,-0.28931
-0.05615,-0.30273
-0.04517,-0.31982
-0.03662,-0.34302
