HPV,HRV,PPV,PRV
715,83.9 ,710,84.5 
735,81.6 ,740,81.1 
740,81.1 ,745,80.5 
750,80.0 ,740,81.1 
765,78.4 ,765,78.4 
765,78.4 ,770,77.9 
760,78.9 ,755,79.5 
755,79.5 ,760,78.9 
745,80.5 ,740,81.1 
740,81.1 ,765,78.4 
730,82.2 ,705,85.1 
715,83.9 ,710,84.5 
735,81.6 ,725,82.8 
735,81.6 ,745,80.5 
745,80.5 ,760,78.9 
760,78.9 ,765,78.4 
770,77.9 ,755,79.5 
780,76.9 ,785,76.4 
800,75.0 ,805,74.5 
785,76.4 ,785,76.4 
720,83.3 ,705,85.1 
730,82.2 ,750,80.0 
710,84.5 ,695,86.3 
680,88.2 ,690,87.0 
690,87.0 ,675,88.9 
685,87.6 ,680,88.2 
710,84.5 ,720,83.3 
700,85.7 ,695,86.3 
715,83.9 ,705,85.1 
700,85.7 ,705,85.1 
675,88.9 ,680,88.2 
645,93.0 ,650,92.3 
645,93.0 ,630,95.2 
675,88.9 ,680,88.2 
705,85.1 ,700,85.7 
720,83.3 ,720,83.3 
705,85.1 ,715,83.9 
735,81.6 ,740,81.1 
755,79.5 ,745,80.5 
790,75.9 ,790,75.9 
775,77.4 ,780,76.9 
755,79.5 ,760,78.9 
765,78.4 ,760,78.9 
775,77.4 ,780,76.9 
775,77.4 ,765,78.4 
745,80.5 ,755,79.5 
765,78.4 ,765,78.4 
780,76.9 ,770,77.9 
755,79.5 ,760,78.9 
755,79.5 ,765,78.4 
775,77.4 ,760,78.9 
760,78.9 ,765,78.4 
760,78.9 ,760,78.9 
730,82.2 ,730,82.2 
750,80.0 ,760,78.9 
760,78.9 ,745,80.5 
765,78.4 ,770,77.9 
745,80.5 ,750,80.0 
725,82.8 ,725,82.8 
750,80.0 ,740,81.1 
780,76.9 ,780,76.9 
790,75.9 ,790,75.9 
790,75.9 ,800,75.0 
755,79.5 ,760,78.9 
765,78.4 ,760,78.9 
775,77.4 ,780,76.9 
780,76.9 ,770,77.9 
750,80.0 ,745,80.5 
760,78.9 ,770,77.9 
780,76.9 ,775,77.4 
790,75.9 ,790,75.9 
760,78.9 ,755,79.5 
780,76.9 ,790,75.9 
800,75.0 ,790,75.9 
810,74.1 ,815,73.6 
765,78.4 ,760,78.9 
790,75.9 ,795,75.5 
815,73.6 ,815,73.6 
785,76.4 ,785,76.4 
800,75.0 ,790,75.9 
805,74.5 ,810,74.1 
770,77.9 ,780,76.9 
795,75.5 ,800,75.0 
795,75.5 ,790,75.9 
795,75.5 ,790,75.9 
810,74.1 ,805,74.5 
775,77.4 ,785,76.4 
785,76.4 ,780,76.9 
790,75.9 ,795,75.5 
805,74.5 ,805,74.5 
790,75.9 ,795,75.5 
780,76.9 ,775,77.4 
805,74.5 ,805,74.5 
785,76.4 ,785,76.4 
755,79.5 ,750,80.0 
770,77.9 ,770,77.9 
780,76.9 ,780,76.9 
760,78.9 ,765,78.4 
760,78.9 ,750,80.0 
795,75.5 ,795,75.5 
820,73.2 ,815,73.6 
810,74.1 ,830,72.3 
785,76.4 ,775,77.4 
750,80.0 ,745,80.5 
775,77.4 ,785,76.4 
780,76.9 ,770,77.9 
785,76.4 ,790,75.9 
780,76.9 ,780,76.9 
750,80.0 ,745,80.5 
765,78.4 ,765,78.4 
770,77.9 ,780,76.9 
775,77.4 ,765,78.4 
740,81.1 ,735,81.6 
740,81.1 ,745,80.5 
780,76.9 ,775,77.4 
790,75.9 ,785,76.4 
770,77.9 ,785,76.4 
755,79.5 ,745,80.5 
780,76.9 ,780,76.9 
805,74.5 ,810,74.1 
795,75.5 ,795,75.5 
800,75.0 ,800,75.0 
750,80.0 ,755,79.5 
750,80.0 ,735,81.6 
790,75.9 ,800,75.0 
800,75.0 ,795,75.5 
805,74.5 ,815,73.6 
780,76.9 ,785,76.4 
770,77.9 ,765,78.4 
795,75.5 ,800,75.0 
790,75.9 ,780,76.9 
790,75.9 ,790,75.9 
795,75.5 ,795,75.5 
770,77.9 ,760,78.9 
780,76.9 ,785,76.4 
785,76.4 ,785,76.4 
775,77.4 ,780,76.9 
795,75.5 ,790,75.9 
775,77.4 ,775,77.4 
800,75.0 ,800,75.0 
815,73.6 ,810,74.1 
785,76.4 ,790,75.9 
800,75.0 ,795,75.5 
805,74.5 ,805,74.5 
780,76.9 ,790,75.9 
760,78.9 ,750,80.0 
760,78.9 ,760,78.9 
785,76.4 ,790,75.9 
765,78.4 ,770,77.9 
755,79.5 ,750,80.0 
760,78.9 ,755,79.5 
770,77.9 ,775,77.4 
750,80.0 ,740,81.1 
765,78.4 ,770,77.9 
755,79.5 ,750,80.0 
760,78.9 ,770,77.9 
760,78.9 ,760,78.9 
725,82.8 ,730,82.2 
725,82.8 ,715,83.9 
740,81.1 ,745,80.5 
740,81.1 ,745,80.5 
775,77.4 ,770,77.9 
780,76.9 ,790,75.9 
755,79.5 ,760,78.9 
775,77.4 ,765,78.4 
785,76.4 ,785,76.4 
790,75.9 ,805,74.5 
770,77.9 ,760,78.9 
770,77.9 ,765,78.4 
755,79.5 ,755,79.5 
730,82.2 ,725,82.8 
725,82.8 ,725,82.8 
740,81.1 ,740,81.1 
755,79.5 ,750,80.0 
745,80.5 ,745,80.5 
755,79.5 ,750,80.0 
785,76.4 ,795,75.5 
775,77.4 ,775,77.4 
775,77.4 ,770,77.9 
800,75.0 ,800,75.0 
795,75.5 ,790,75.9 
775,77.4 ,780,76.9 
775,77.4 ,775,77.4 
795,75.5 ,795,75.5 
765,78.4 ,770,77.9 
780,76.9 ,765,78.4 
775,77.4 ,785,76.4 
745,80.5 ,745,80.5 
750,80.0 ,750,80.0 
775,77.4 ,770,77.9 
760,78.9 ,765,78.4 
775,77.4 ,765,78.4 
770,77.9 ,780,76.9 
770,77.9 ,780,76.9 
785,76.4 ,780,76.9 
785,76.4 ,785,76.4 
775,77.4 ,785,76.4 
760,78.9 ,755,79.5 
765,78.4 ,765,78.4 
785,76.4 ,775,77.4 
770,77.9 ,765,78.4 
750,80.0 ,750,80.0 
770,77.9 ,775,77.4 
830,72.3 ,840,71.4 
805,74.5 ,795,75.5 
800,75.0 ,805,74.5 
820,73.2 ,815,73.6 
810,74.1 ,815,73.6 
775,77.4 ,785,76.4 
770,77.9 ,760,78.9 
780,76.9 ,775,77.4 
790,75.9 ,785,76.4 
760,78.9 ,765,78.4 
780,76.9 ,785,76.4 
785,76.4 ,775,77.4 
770,77.9 ,775,77.4 
770,77.9 ,765,78.4 
730,82.2 ,735,81.6 
690,87.0 ,685,87.6 
700,85.7 ,700,85.7 
740,81.1 ,730,82.2 
750,80.0 ,755,79.5 
760,78.9 ,755,79.5 
760,78.9 ,775,77.4 
735,81.6 ,735,81.6 
735,81.6 ,730,82.2 
755,79.5 ,760,78.9 
765,78.4 ,760,78.9 
745,80.5 ,745,80.5 
745,80.5 ,740,81.1 
755,79.5 ,760,78.9 
745,80.5 ,740,81.1 
775,77.4 ,775,77.4 
785,76.4 ,790,75.9 
785,76.4 ,780,76.9 
810,74.1 ,815,73.6 
790,75.9 ,790,75.9 
780,76.9 ,780,76.9 
745,80.5 ,755,79.5 
775,77.4 ,770,77.9 
755,79.5 ,760,78.9 
745,80.5 ,750,80.0 
765,78.4 ,755,79.5 
775,77.4 ,785,76.4 
780,76.9 ,775,77.4 
805,74.5 ,800,75.0 
825,72.7 ,820,73.2 
800,75.0 ,815,73.6 
810,74.1 ,805,74.5 
835,71.9 ,825,72.7 
830,72.3 ,845,71.0 
800,75.0 ,790,75.9 
810,74.1 ,815,73.6 
810,74.1 ,805,74.5 
760,78.9 ,770,77.9 
780,76.9 ,765,78.4 
800,75.0 ,805,74.5 
790,75.9 ,800,75.0 
765,78.4 ,755,79.5 
780,76.9 ,775,77.4 
730,82.2 ,725,82.8 
700,85.7 ,705,85.1 
705,85.1 ,710,84.5 
750,80.0 ,740,81.1 
750,80.0 ,765,78.4 
750,80.0 ,740,81.1 
795,75.5 ,805,74.5 
820,73.2 ,805,74.5 
765,78.4 ,785,76.4 
735,81.6 ,730,82.2 
725,82.8 ,725,82.8 
730,82.2 ,720,83.3 
745,80.5 ,745,80.5 
750,80.0 ,755,79.5 
795,75.5 ,800,75.0 
825,72.7 ,825,72.7 
805,74.5 ,810,74.1 
785,76.4 ,785,76.4 
820,73.2 ,810,74.1 
830,72.3 ,835,71.9 
825,72.7 ,835,71.9 
790,75.9 ,780,76.9 
800,75.0 ,795,75.5 
805,74.5 ,820,73.2 
770,77.9 ,765,78.4 
795,75.5 ,795,75.5 
805,74.5 ,800,75.0 
795,75.5 ,790,75.9 
785,76.4 ,790,75.9 
820,73.2 ,815,73.6 
835,71.9 ,840,71.4 
820,73.2 ,820,73.2 
795,75.5 ,795,75.5 
810,74.1 ,805,74.5 
810,74.1 ,805,74.5 
790,75.9 ,795,75.5 
790,75.9 ,790,75.9 
810,74.1 ,810,74.1 
800,75.0 ,805,74.5 
775,77.4 ,775,77.4 
800,75.0 ,795,75.5 
810,74.1 ,815,73.6 
800,75.0 ,795,75.5 
815,73.6 ,820,73.2 
850,70.6 ,850,70.6 
840,71.4 ,840,71.4 
815,73.6 ,815,73.6 
825,72.7 ,830,72.3 
825,72.7 ,820,73.2 
790,75.9 ,790,75.9 
790,75.9 ,785,76.4 
790,75.9 ,795,75.5 
780,76.9 ,770,77.9 
805,74.5 ,810,74.1 
840,71.4 ,830,72.3 
830,72.3 ,840,71.4 
805,74.5 ,805,74.5 
800,75.0 ,800,75.0 
830,72.3 ,830,72.3 
820,73.2 ,820,73.2 
825,72.7 ,830,72.3 
815,73.6 ,820,73.2 
785,76.4 ,780,76.9 
770,77.9 ,770,77.9 
800,75.0 ,795,75.5 
820,73.2 ,820,73.2 
825,72.7 ,820,73.2 
785,76.4 ,790,75.9 
780,76.9 ,780,76.9 
825,72.7 ,825,72.7 
805,74.5 ,810,74.1 
790,75.9 ,780,76.9 
780,76.9 ,785,76.4 
805,74.5 ,795,75.5 
805,74.5 ,815,73.6 
775,77.4 ,775,77.4 
795,75.5 ,790,75.9 
810,74.1 ,815,73.6 
785,76.4 ,780,76.9 
760,78.9 ,765,78.4 
775,77.4 ,765,78.4 
780,76.9 ,790,75.9 
750,80.0 ,745,80.5 
760,78.9 ,760,78.9 
770,77.9 ,765,78.4 
775,77.4 ,780,76.9 
760,78.9 ,765,78.4 
775,77.4 ,775,77.4 
795,75.5 ,790,75.9 
775,77.4 ,770,77.9 
760,78.9 ,765,78.4 
770,77.9 ,775,77.4 
790,75.9 ,785,76.4 
755,79.5 ,755,79.5 
760,78.9 ,760,78.9 
785,76.4 ,780,76.9 
795,75.5 ,805,74.5 
780,76.9 ,780,76.9 
790,75.9 ,790,75.9 
810,74.1 ,810,74.1 
805,74.5 ,805,74.5 
820,73.2 ,820,73.2 
830,72.3 ,830,72.3 
820,73.2 ,825,72.7 
805,74.5 ,800,75.0 
825,72.7 ,825,72.7 
845,71.0 ,840,71.4 
845,71.0 ,855,70.2 
815,73.6 ,815,73.6 
815,73.6 ,815,73.6 
825,72.7 ,820,73.2 
795,75.5 ,800,75.0 
770,77.9 ,765,78.4 
775,77.4 ,770,77.9 
800,75.0 ,800,75.0 
815,73.6 ,820,73.2 
780,76.9 ,775,77.4 
805,74.5 ,805,74.5 
835,71.9 ,835,71.9 
835,71.9 ,835,71.9 
795,75.5 ,795,75.5 
780,76.9 ,780,76.9 
795,75.5 ,795,75.5 
795,75.5 ,800,75.0 
785,76.4 ,785,76.4 
760,78.9 ,750,80.0 
750,80.0 ,760,78.9 
785,76.4 ,785,76.4 
795,75.5 ,795,75.5 
795,75.5 ,795,75.5 
840,71.4 ,835,71.9 
820,73.2 ,830,72.3 
805,74.5 ,800,75.0 
850,70.6 ,855,70.2 
865,69.4 ,865,69.4 
820,73.2 ,825,72.7 
800,75.0 ,800,75.0 
815,73.6 ,815,73.6 
805,74.5 ,805,74.5 
775,77.4 ,770,77.9 
770,77.9 ,765,78.4 
795,75.5 ,800,75.0 
800,75.0 ,800,75.0 
785,76.4 ,775,77.4 
775,77.4 ,775,77.4 
820,73.2 ,825,72.7 
825,72.7 ,820,73.2 
770,77.9 ,775,77.4 
765,78.4 ,755,79.5 
750,80.0 ,760,78.9 
770,77.9 ,765,78.4 
755,79.5 ,760,78.9 
755,79.5 ,750,80.0 
780,76.9 ,775,77.4 
770,77.9 ,775,77.4 
755,79.5 ,760,78.9 
795,75.5 ,800,75.0 
820,73.2 ,810,74.1 
800,75.0 ,800,75.0 
765,78.4 ,780,76.9 
790,75.9 ,780,76.9 
805,74.5 ,810,74.1 
775,77.4 ,775,77.4 
760,78.9 ,750,80.0 
770,77.9 ,765,78.4 
775,77.4 ,780,76.9 
775,77.4 ,780,76.9 
795,75.5 ,785,76.4 
755,79.5 ,765,78.4 
750,80.0 ,745,80.5 
725,82.8 ,730,82.2 
695,86.3 ,695,86.3 
720,83.3 ,720,83.3 
